Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
49,2.4827,49,Justin Harding,2,available,T6,-3,-3,F,69.0,--,--,--,69.0
64,1.3726,98,Kevin Tway,1,available,T29,E,E,F,72.0,--,--,--,72.0
36,3.1199,36,Matt Wallace,3,available,T63,+3,+3,F,75.0,--,--,--,75.0
46,2.558,46,Charles Howell III,3,available,T44,+1,+1,F,73.0,--,--,--,73.0
20,4.2345,20,Marc Leishman,4,available,T29,E,E,F,72.0,--,--,--,72.0
77,0,900+,Viktor Hovland (a),1,available,T29,E,E,F,72.0,--,--,--,72.0
27,3.615,27,Sergio Garcia,4,available,T44,+1,+1,F,73.0,--,--,--,73.0
26,3.6277,26,Hideki Matsuyama,4,available,T63,+3,+3,F,75.0,--,--,--,75.0
87,0,900+,Alvaro Ortiz (a),1,available,T44,+1,+1,F,73.0,--,--,--,73.0
83,0,900+,Jovan Rebula (a),1,available,T44,+1,+1,F,73.0,--,--,--,73.0
15,4.857,15,Tony Finau,5,available,T21,-1,-1,F,71.0,--,--,--,71.0
17,4.5418,17,Bubba Watson,5,available,T29,E,E,F,72.0,--,--,--,72.0
29,3.4593,29,Adam Scott,4,available,T6,-3,-3,F,69.0,--,--,--,69.0
44,2.6669,44,Branden Grace,3,available,T29,E,E,F,72.0,--,--,--,72.0
62,1.4009,96,Stewart Cink,1,available,T73,+4,+4,F,76.0,--,--,--,76.0
73,0.264,500,Takumi Kanaya (a),1,available,T44,+1,+1,F,73.0,--,--,--,73.0
70,0.511,330,Michael Kim,1,available,T73,+4,+4,F,76.0,--,--,--,76.0
47,2.5072,47,Brandt Snedeker,2,available,T63,+3,+3,F,75.0,--,--,--,75.0
