PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Trey Mullinax,34,0.183,5.125,19.183,-14.057,28
Keegan Bradley,36,0.182,4.915,28.2,-23.285,27
Ben Silverman,30,0.165,3.635,-6.722,10.357000000000001,22
Hudson Swafford,39,0.157,4.867,-1.337,6.204,31
Charley Hoffman,26,0.14400000000000002,1.581,3.458,-1.8780000000000001,11
Roger Sloan,39,0.138,3.733,1.112,2.62,27
Max Homa,33,0.135,3.5039999999999996,-1.505,5.01,26
Danny Lee,34,0.11800000000000001,2.957,-0.726,3.6830000000000003,25
Cameron Davis,38,0.11,2.7430000000000003,2.594,0.149,25
Harris English,42,0.10800000000000001,3.685,-8.055,11.741,34
Adam Hadwin,38,0.10800000000000001,2.38,2.458,-0.078,22
Ryan Armour,40,0.084,1.922,-4.794,6.716,23
Russell Henley,32,0.084,1.933,9.217,-7.2829999999999995,23
Sebastián Muñoz,38,0.06,1.439,11.664000000000001,-10.225,24
Danny Willett,23,0.06,0.9670000000000001,6.202000000000001,-5.236000000000001,16
Jonas Blixt,36,0.057999999999999996,1.6280000000000001,-4.496,6.124,28
Hank Lebioda,29,0.057999999999999996,1.214,12.955,-11.74,21
Aaron Wise,27,0.053,1.06,1.985,-0.925,20
J.J. Spaun,43,0.052000000000000005,1.311,-0.161,1.47,25
Chase Wright,36,0.043,1.1059999999999999,-9.515,10.620999999999999,26
Fabián Gómez,30,0.022000000000000002,0.391,2.7230000000000003,-2.332,18
Nick Watney,37,0.001,0.026000000000000002,1.932,-1.906,23
Kevin Streelman,37,-0.009000000000000001,-0.265,15.74,-16.005,29
Martin Laird,32,-0.019,-0.48,-7.084,6.602,25
Stewart Cink,25,-0.024,-0.355,-6.347,5.9910000000000005,15
Scott Langley,38,-0.024,-0.679,-26.006,25.328000000000003,28
Davis Love III,23,-0.032,-0.508,3.411,-3.918,16
Anders Albertson,35,-0.034,-0.8490000000000001,2.5380000000000003,-3.386,25
Tom Lovelady,17,-0.04,-0.32299999999999995,11.035,-11.357999999999999,8
Johnson Wagner,33,-0.043,-1.028,-7.4670000000000005,6.439,24
Joaquin Niemann,40,-0.051,-1.4380000000000002,21.743000000000002,-23.18,28
Martin Kaymer,14,-0.057,-0.8,-0.475,-0.324,14
Tom Hoge,40,-0.075,-1.811,-1.232,-0.578,24
José de Jesús Rodríguez,35,-0.09300000000000001,-1.9509999999999998,-10.113999999999999,8.163,21
Chris Kirk,35,-0.096,-2.3890000000000002,9.131,-11.519,25
Pat Perez,33,-0.10099999999999999,-1.217,-13.263,12.045,12
Emiliano Grillo,38,-0.114,-2.386,19.968,-22.354,21
Kevin Na,28,-0.11699999999999999,-1.875,2.705,-4.58,16
Nicholas Lindheim,14,-0.139,-1.3869999999999998,-3.51,2.123,10
Ryan Blaum,45,-0.155,-5.426,-10.534,5.1080000000000005,35
Sam Saunders,35,-0.16,-4.474,-0.986,-3.487,28
Alex Prugh,33,-0.163,-3.748,10.432,-14.177999999999999,23
Scott Stallings,33,-0.17300000000000001,-3.978,7.093999999999999,-11.073,23
Adam Long,29,-0.18600000000000003,-4.271,5.386,-9.656,23
