PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY
Cody Gribble,11,0.48,"$62,915","$13,194,000"
Freddie Jacobson,8,0.47,"$44,725","$9,450,000"
Rod Pampling,8,0.46,"$45,390","$9,774,000"
Ben Griffin,2,0.45,"$7,540","$1,692,000"
Chris Thompson,8,0.42,"$35,560","$8,496,000"
D.A. Points,9,0.4,"$43,246","$10,890,000"
Alex Cejka,10,0.39,"$47,130","$12,042,000"
Brian Davis,3,0.33,"$10,500","$3,186,000"
Jon Curran,3,0.32,"$11,480","$3,564,000"
Morgan Hoffmann,4,0.26,"$13,206","$5,112,000"
Ricky Barnes,5,0.25,"$12,736","$5,004,000"
Tyrone Van Aswegen,6,0.22,"$13,184","$6,066,000"
Chad Campbell,5,0.21,"$10,500","$5,004,000"
David Lingmerth,4,0.2,"$7,540","$3,852,000"
Jim Herman,9,0.19,"$19,488","$10,386,000"
Brandon Hagy,7,0.18,"$14,555","$8,046,000"
