,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENTS,TOTAL RNDS,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Josh Teater,27.0,71.668,1906.0,29.033,27.0,10.0,9.0,10.0,0.64,"$70,198","$11,052,000",27.0,-0.294,-4.404,4.496,-8.899,15.0
Charl Schwartzel,20.0,71.689,1421.0,12.780,20.0,7.0,5.0,7.0,2.69,"$226,275","$8,424,000",20.0,-0.353,-3.181,-6.726,3.545,9.0
Alex Prugh,33.0,71.71300000000001,2335.0,31.541,33.0,11.0,11.0,11.0,0.8,"$97,915","$12,276,000",33.0,-0.163,-3.748,10.432,-14.177999999999999,23.0
Shawn Stefani,31.0,71.717,2199.0,24.227,31.0,11.0,9.0,11.0,2.07,"$253,805","$12,240,000",31.0,-0.998,-20.949,-15.704,-5.244,21.0
Alex Noren,20.0,71.721,1433.0,1.417,20.0,6.0,6.0,6.0,3.32,"$297,065","$8,935,000",20.0,-1.683,-18.515,-7.329,-11.186,11.0
David Hearn,25.0,71.725,1769.0,24.121,25.0,8.0,10.0,8.0,1.91,"$162,238","$8,496,000",25.0,-0.34600000000000003,-5.534,-6.25,0.716,16.0
Jim Knous,31.0,71.749,2208.0,16.208,31.0,10.0,9.0,10.0,2.11,"$232,983","$11,052,000",31.0,-0.401,-8.414,-1.7369999999999999,-6.676,21.0
Brandon Harkins,37.0,71.767,2621.0,34.388,37.0,12.0,12.0,12.0,2.09,"$300,095","$14,346,000",37.0,-0.536,-14.475,-7.162000000000001,-7.311,27.0
Roberto Díaz,25.0,71.77,1770.0,24.240,25.0,9.0,8.0,9.0,1.87,"$184,360","$9,846,000",25.0,-0.8220000000000001,-12.333,-13.036,0.7040000000000001,15.0
Danny Willett,23.0,71.777,1634.0,16.875,23.0,7.0,6.0,7.0,2.65,"$262,402","$9,917,000",23.0,0.06,0.9670000000000001,6.202000000000001,-5.236000000000001,16.0
Robert Streb,38.0,71.778,2690.0,37.553,38.0,13.0,14.0,13.0,2.82,"$426,969","$15,156,000",38.0,-0.42200000000000004,-11.825,-3.2260000000000004,-8.597999999999999,28.0
Bill Haas,33.0,71.797,2349.0,20.287,33.0,10.0,10.0,10.0,2.4,"$293,208","$12,204,000",33.0,-0.364,-9.093,-2.616,-6.477,25.0
Sean O'Hair,23.0,71.84100000000001,1621.0,31.350,23.0,9.0,10.0,9.0,1.91,"$201,352","$10,530,000",23.0,-1.045,-17.762,-15.552999999999999,-2.208,17.0
Tom Hoge,40.0,71.842,2834.0,39.661,40.0,14.0,12.0,14.0,0.92,"$148,695","$16,146,000",40.0,-0.075,-1.811,-1.232,-0.578,24.0
Chris Stroud,28.0,71.865,1986.0,26.206,28.0,10.0,12.0,10.0,3.5,"$436,270","$12,456,000",28.0,-0.295,-6.49,-15.635,9.142999999999999,22.0
Scott Stallings,33.0,71.885,2340.0,32.205,33.0,10.0,12.0,10.0,4.96,"$616,598","$12,420,000",33.0,-0.17300000000000001,-3.978,7.093999999999999,-11.073,23.0
John Huh,33.0,71.922,2349.0,24.436,33.0,12.0,10.0,12.0,0.68,"$97,254","$14,346,000",33.0,-0.733,-18.336,-14.933,-3.4019999999999997,25.0
Tom Lovelady,17.0,71.923,1207.0,15.695,17.0,5.0,4.0,5.0,1.91,"$93,780","$4,914,000",17.0,-0.04,-0.32299999999999995,11.035,-11.357999999999999,8.0
Nicholas Lindheim,14.0,71.931,990.0,17.037,14.0,5.0,4.0,5.0,0.94,"$51,102","$5,436,000",14.0,-0.139,-1.3869999999999998,-3.51,2.123,10.0
Andrew Landry,30.0,71.938,2127.0,31.144,30.0,10.0,12.0,10.0,1.3,"$164,143","$12,586,000",30.0,-0.647,-16.17,-9.068,-7.1,25.0
Wes Roach,28.0,71.939,1982.0,32.280,28.0,9.0,8.0,9.0,0.57,"$55,375","$9,756,000",28.0,-0.226,-4.0760000000000005,-3.469,-0.607,18.0
Ben Crane,24.0,71.941,1710.0,16.583,24.0,8.0,8.0,8.0,1.45,"$123,979","$8,568,000",24.0,-0.903,-12.647,-17.482,4.835,14.0
Jimmy Walker,31.0,71.997,2215.0,16.904,31.0,9.0,11.0,9.0,1.27,"$155,480","$12,240,000",31.0,-0.627,-12.539000000000001,-3.1660000000000004,-9.373,20.0
Martin Piller,20.0,72.061,1421.0,20.224,20.0,6.0,6.0,6.0,1.11,"$67,183","$6,066,000",20.0,-1.185,-13.035,-23.414,10.379000000000001,11.0
Seth Reeves,34.0,72.092,2414.0,37.120,34.0,11.0,13.0,11.0,1.54,"$200,854","$13,068,000",34.0,-1.3840000000000001,-33.208,-23.07,-10.136000000000001,24.0
Sepp Straka,26.0,72.092,1861.0,13.382,26.0,9.0,7.0,9.0,1.89,"$183,829","$9,720,000",26.0,0.213,3.412,-3.264,6.676,16.0
Sangmoon Bae,26.0,72.093,1849.0,25.417,26.0,10.0,9.0,10.0,0.56,"$64,775","$11,592,000",26.0,-0.556,-8.891,-6.53,-2.36,16.0
Kyle Stanley,30.0,72.097,2148.0,14.914,30.0,10.0,7.0,10.0,2.36,"$337,811","$14,317,000",30.0,-1.5130000000000001,-25.725,-11.440999999999999,-14.283,17.0
Tyler Duncan,41.0,72.101,2919.0,37.125,41.0,13.0,11.0,13.0,1.18,"$175,724","$14,886,000",41.0,-1.7690000000000001,-47.753,-16.189,-31.563000000000002,27.0
Freddie Jacobson,23.0,72.101,1654.0,4.320,23.0,8.0,5.0,8.0,0.47,"$44,725","$9,450,000",23.0,-0.8759999999999999,-14.015999999999998,-14.58,0.564,16.0
Charley Hoffman,26.0,72.12,1860.0,15.119,26.0,9.0,6.0,9.0,1.4,"$177,530","$12,662,000",26.0,0.14400000000000002,1.581,3.458,-1.8780000000000001,11.0
Alex Cejka,25.0,72.12100000000001,1779.0,24.023,25.0,10.0,7.0,10.0,0.39,"$47,130","$12,042,000",25.0,-0.773,-13.136,-8.149,-4.987,17.0
Curtis Luck,28.0,72.139,1995.0,24.905,28.0,10.0,5.0,10.0,0.8,"$89,830","$11,178,000",28.0,-1.3940000000000001,-23.703000000000003,-22.151999999999997,-1.55,17.0
Mackenzie Hughes,26.0,72.16199999999999,1860.0,16.218,26.0,10.0,6.0,10.0,0.72,"$89,384","$12,492,000",26.0,-1.171,-23.427,-12.690999999999999,-10.735,20.0
Peter Uihlein,33.0,72.17699999999999,2341.0,40.840,33.0,11.0,10.0,11.0,2.33,"$308,883","$13,248,000",33.0,-0.33399999999999996,-5.672000000000001,-14.77,9.097000000000001,17.0
Derek Fathauer,16.0,72.186,1138.0,16.973,16.0,5.0,6.0,5.0,1.19,"$58,640","$4,914,000",16.0,-1.4880000000000002,-10.419,-13.151,2.7319999999999998,7.0
Brendan Steele,30.0,72.197,2137.0,28.914,30.0,10.0,8.0,10.0,2.5,"$329,694","$13,194,000",30.0,-0.716,-13.600999999999999,-2.374,-11.225999999999999,19.0
J.J. Henry,22.0,72.214,1575.0,13.701,22.0,8.0,6.0,8.0,0.91,"$77,214","$8,442,000",22.0,-1.133,-14.73,-4.15,-10.578,13.0
John Senden,23.0,72.241,1641.0,20.548,23.0,7.0,5.0,7.0,0.79,"$63,336","$7,992,000",23.0,-0.802,-11.234000000000002,-6.428,-4.8069999999999995,14.0
Jason Dufner,31.0,72.248,2205.0,34.682,31.0,11.0,8.0,11.0,0.98,"$139,143","$14,238,000",31.0,-1.274,-20.387,-8.676,-11.709000000000001,16.0
Jim Herman,21.0,72.29,1496.0,22.099,21.0,9.0,7.0,9.0,0.19,"$19,488","$10,386,000",21.0,-0.9359999999999999,-14.038,-6.8629999999999995,-7.1739999999999995,15.0
Whee Kim,41.0,72.312,2923.0,41.801,41.0,14.0,17.0,14.0,1.5,"$256,622","$17,064,000",41.0,-0.67,-12.722999999999999,-17.968,5.245,19.0
"Ted Potter, Jr.",33.0,72.317,2352.0,34.467,33.0,10.0,12.0,10.0,3.02,"$403,175","$13,342,000",33.0,-1.04,-22.871,-11.833,-11.037,22.0
Brandon Hagy,17.0,72.32600000000001,1214.0,15.540,17.0,7.0,3.0,7.0,0.18,"$14,555","$8,046,000",17.0,-0.774,-10.838,-9.87,-0.9670000000000001,14.0
Brian Harman,35.0,72.33,2510.0,21.559,35.0,11.0,11.0,11.0,1.25,"$185,116","$14,822,000",35.0,-0.746,-14.182,-8.908,-5.273,19.0
Kyle Jones,33.0,72.378,2359.0,29.479,33.0,12.0,8.0,12.0,0.87,"$118,190","$13,608,000",33.0,-0.8109999999999999,-18.658,-14.841,-3.815,23.0
Brady Schnell,24.0,72.449,1719.0,19.779,24.0,9.0,6.0,9.0,0.73,"$70,891","$9,720,000",24.0,-0.604,-9.671,-11.079,1.4080000000000001,16.0
Ollie Schniederjans,38.0,72.449,2709.0,44.057,38.0,13.0,12.0,13.0,0.61,"$95,859","$15,624,000",38.0,-1.013,-24.301,-23.572,-0.728,24.0
Grayson Murray,28.0,72.48100000000001,2015.0,14.455,28.0,10.0,5.0,10.0,0.57,"$68,511","$12,042,000",28.0,-1.2690000000000001,-27.908,-17.75,-10.158,22.0
D.A. Points,26.0,72.53,1867.0,18.787,26.0,9.0,4.0,9.0,0.4,"$43,246","$10,890,000",26.0,-1.335,-18.689,-16.169,-2.519,14.0
Tyrone Van Aswegen,16.0,72.624,1153.0,8.984,16.0,6.0,4.0,6.0,0.22,"$13,184","$6,066,000",16.0,-1.38,-12.421,-6.357,-6.064,9.0
Satoshi Kodaira,32.0,72.76899999999999,2304.0,24.599,32.0,10.0,5.0,10.0,1.84,"$248,370","$13,529,000",32.0,-1.68,-38.632,-26.451999999999998,-12.177999999999999,23.0
John Chin,28.0,72.783,2009.0,28.913,28.0,10.0,6.0,10.0,0.53,"$58,986","$11,052,000",28.0,-2.1319999999999997,-34.104,-31.351999999999997,-2.752,16.0
Ricky Barnes,13.0,72.793,942.0,4.314,13.0,5.0,2.0,5.0,0.25,"$12,736","$5,004,000",13.0,-1.507,-12.055,-7.077999999999999,-4.977,8.0
Joey Garber,24.0,72.848,1729.0,19.343,24.0,9.0,6.0,9.0,0.93,"$90,813","$9,720,000",24.0,-2.456,-34.379,-26.201999999999998,-8.176,14.0
Cody Gribble,30.0,72.874,2161.0,25.225,30.0,11.0,5.0,11.0,0.48,"$62,915","$13,194,000",30.0,-1.8840000000000001,-41.457,-26.315,-15.140999999999998,22.0
Chris Thompson,24.0,72.88,1727.0,22.120,24.0,8.0,1.0,8.0,0.42,"$35,560","$8,496,000",24.0,-0.79,-11.065,-8.752,-2.313,14.0
Robert Garrigus,20.0,72.968,1445.0,14.369,20.0,7.0,5.0,7.0,0.88,"$64,774","$7,398,000",20.0,-1.093,-14.213,-9.767000000000001,-4.446000000000001,13.0
Chad Campbell,13.0,72.97,942.0,6.611,13.0,5.0,2.0,5.0,0.21,"$10,500","$5,004,000",13.0,-2.21,-13.257,-2.803,-10.453,6.0
Chad Collins,18.0,73.042,1298.0,16.761,18.0,6.0,3.0,6.0,0.49,"$29,839","$6,066,000",18.0,-1.022,-9.202,-12.12,2.918,9.0
Rod Pampling,22.0,73.307,1597.0,15.754,22.0,8.0,4.0,8.0,0.46,"$45,390","$9,774,000",22.0,-2.655,-29.206999999999997,-19.847,-9.36,11.0
Michael Kim,33.0,73.41199999999999,2392.0,30.587,33.0,12.0,5.0,12.0,0.66,"$104,936","$15,880,000",33.0,-1.585,-33.275,-36.078,2.803,21.0
Seamus Power,27.0,73.601,1964.0,23.225,27.0,11.0,2.0,11.0,0.59,"$76,918","$12,978,000",27.0,-2.055,-43.163999999999994,-38.263000000000005,-4.899,21.0
John Catlin,,,,,,5.0,7.0,5.0,2.32,"$154,993","$6,668,000",19.0,0.254,1.781,-0.777,2.556,7.0
Sergio Garcia,,,,,,3.0,7.0,3.0,11.09,"$477,086","$4,301,000",,,,,,
Kevin Chappell,,,,,,3.0,6.0,3.0,6.02,"$257,023","$4,266,000",,,,,,
Brendon Todd,,,,,,3.0,6.0,3.0,1.16,"$35,607","$3,060,000",,,,,,
Matt Wallace,,,,,,4.0,6.0,4.0,7.81,"$492,348","$6,307,000",16.0,1.2930000000000001,15.519,10.753,4.766,12.0
Steve Marino,,,,,,4.0,5.0,4.0,2.26,"$107,603","$4,770,000",,,,,,
Stuart Appleby,,,,,,3.0,4.0,3.0,1.34,"$33,336","$2,484,000",,,,,,
Doug Ghim,,,,,,4.0,4.0,4.0,1.88,"$88,516","$4,698,000",13.0,-0.48200000000000004,-4.816,4.368,-9.185,10.0
Shugo Imahira,,,,,,2.0,4.0,2.0,3.51,"$101,540","$2,897,000",,,,,,
Dylan Meyer,,,,,,2.0,4.0,2.0,5.8,"$119,114","$2,052,000",,,,,,
Andres Romero,,,,,,3.0,4.0,3.0,2.05,"$50,959","$2,484,000",,,,,,
Shubhankar Sharma,,,,,,4.0,4.0,4.0,4.55,"$291,595","$6,415,000",16.0,-2.142,-8.568,-6.348,-2.22,4.0
Tiger Woods,,,,,,3.0,4.0,3.0,7.86,"$342,092","$4,355,000",,,,,,
Shintaro Ban,,,,,,2.0,3.0,2.0,0.55,"$14,112","$2,556,000",,,,,,
George Cunningham,,,,,,2.0,3.0,2.0,1.42,"$32,970","$2,322,000",,,,,,
Armando Favela,,,,,,1.0,3.0,1.0,8.33,"$108,000","$1,296,000",,,,,,
Matthew Fitzpatrick,,,,,,4.0,3.0,4.0,17.33,"$1,118,112","$6,451,000",15.0,1.57,14.128,13.537,0.59,9.0
Jason Gore,,,,,,4.0,3.0,4.0,2.26,"$92,960","$4,122,000",,,,,,
Yuki Inamori,,,,,,2.0,3.0,2.0,2.05,"$58,379","$2,852,000",,,,,,
HaoTong Li,,,,,,3.0,3.0,3.0,5.04,"$256,083","$5,083,000",,,,,,
David Lipsky,,,,,,1.0,3.0,1.0,9.26,"$161,500","$1,745,000",,,,,,
Will MacKenzie,,,,,,3.0,3.0,,,,,,,,,,
Thorbjørn Olesen,,,,,,3.0,3.0,3.0,5.42,"$275,562","$5,083,000",,,,,,
Thomas Pieters,,,,,,2.0,3.0,2.0,4.98,"$147,320","$2,960,000",,,,,,
Steve Stricker,,,,,,4.0,3.0,4.0,0.89,"$48,310","$5,436,000",,,,,,
Norman Xiong,,,,,,2.0,3.0,2.0,1.43,"$29,944","$2,088,000",,,,,,
Y.E. Yang,,,,,,1.0,3.0,1.0,2.69,"$31,040","$1,152,000",,,,,,
Gaganjeet Bhullar,,,,,,2.0,2.0,2.0,3.69,"$109,120","$2,960,000",,,,,,
Lucas Bjerregaard,,,,,,3.0,2.0,3.0,4.97,"$232,200","$4,669,000",,,,,,
Wesley Bryan,,,,,,5.0,2.0,,,,,,,,,,
George Coetzee,,,,,,2.0,2.0,2.0,3.21,"$110,500","$3,445,000",,,,,,
Brian Davis,,,,,,3.0,2.0,3.0,0.33,"$10,500","$3,186,000",,,,,,
Brendon de Jonge,,,,,,3.0,2.0,3.0,0.48,"$11,904","$2,484,000",,,,,,
Martin Flores,,,,,,1.0,2.0,1.0,6.0,"$32,400","$540,000",,,,,,
Oscar Fraustro,,,,,,1.0,2.0,1.0,1.94,"$25,200","$1,296,000",,,,,,
Justin Harding,,,,,,2.0,2.0,2.0,2.67,"$79,160","$2,960,000",,,,,,
Lee Hodges,,,,,,1.0,2.0,1.0,1.27,"$14,592","$1,152,000",,,,,,
Sam Horsfield,,,,,,2.0,2.0,2.0,2.16,"$47,060","$2,178,000",,,,,,
Rikuya Hoshino,,,,,,1.0,2.0,1.0,1.14,"$13,120","$1,152,000",,,,,,
Billy Hurley III,,,,,,2.0,2.0,2.0,1.23,"$16,394","$1,332,000",,,,,,
Colt Knost,,,,,,2.0,2.0,,,,,,,,,,
David Lingmerth,,,,,,4.0,2.0,4.0,0.2,"$7,540","$3,852,000",,,,,,
Joost Luiten,,,,,,1.0,2.0,1.0,9.26,"$161,500","$1,745,000",,,,,,
Parker McLachlin,,,,,,3.0,2.0,3.0,0.87,"$23,404","$2,700,000",,,,,,
Maverick McNealy,,,,,,2.0,2.0,2.0,0.7,"$13,568","$1,944,000",,,,,,
Doyeob Mun,,,,,,1.0,2.0,1.0,1.06,"$18,050","$1,710,000",,,,,,
Bryson Nimmer,,,,,,1.0,2.0,,,,,,,,,,
Henrik Norlander,,,,,,1.0,2.0,1.0,1.27,"$14,592","$1,152,000",,,,,,
Sanghyun Park,,,,,,4.0,2.0,4.0,1.57,"$100,465","$6,415,000",15.0,-4.56,-13.681,-11.052999999999999,-2.627,3.0
Jonathan Randolph,,,,,,1.0,2.0,1.0,2.8,"$22,165","$792,000",,,,,,
Erik van Rooyen,,,,,,2.0,2.0,2.0,4.69,"$161,500","$3,445,000",,,,,,
Vijay Singh,,,,,,4.0,2.0,4.0,4.58,"$244,800","$5,346,000",,,,,,
Henrik Stenson,,,,,,2.0,2.0,2.0,5.34,"$180,653","$3,383,000",,,,,,
Richard Sterne,,,,,,1.0,2.0,1.0,3.44,"$60,000","$1,745,000",,,,,,
Brad Adamonis,,,,,,1.0,1.0,,,,,,,,,,
Robert Allenby,,,,,,1.0,1.0,1.0,1.4,"$7,540","$540,000",,,,,,
Dawson Armstrong,,,,,,1.0,1.0,1.0,1.17,"$9,240","$792,000",,,,,,
Adri Arnaus,,,,,,1.0,1.0,,,,,,,,,,
Eric Axley,,,,,,3.0,1.0,,,,,,,,,,
Garrett Barber,,,,,,1.0,1.0,,,,,,,,,,
Alexander Björk,,,,,,2.0,1.0,2.0,4.33,"$149,000","$3,445,000",,,,,,
Hayden Buckley,,,,,,1.0,1.0,1.0,1.17,"$9,240","$792,000",,,,,,
Rafael Campos,,,,,,1.0,1.0,1.0,1.4,"$7,540","$540,000",,,,,,
Minchel Choi,,,,,,2.0,1.0,2.0,0.93,"$27,475","$2,970,000",,,,,,
Fred Couples,,,,,,2.0,1.0,2.0,0.95,"$23,680","$2,484,000",,,,,,
Jon Curran,,,,,,3.0,1.0,3.0,0.32,"$11,480","$3,564,000",,,,,,
Luke Donald,,,,,,1.0,1.0,,,,,,,,,,
Kevin Dougherty,,,,,,2.0,1.0,,,,,,,,,,
Brett Drewitt,,,,,,1.0,1.0,1.0,4.06,"$46,800","$1,152,000",,,,,,
Eric Dugas,,,,,,1.0,1.0,1.0,1.09,"$12,544","$1,152,000",,,,,,
David Duval,,,,,,2.0,1.0,,,,,,,,,,
Broc Everett,,,,,,1.0,1.0,,,,,,,,,,
Andres Gonzales,,,,,,1.0,1.0,,,,,,,,,,
Retief Goosen,,,,,,3.0,1.0,,,,,,,,,,
Ben Griffin,,,,,,2.0,1.0,2.0,0.45,"$7,540","$1,692,000",,,,,,
Nick Hardy,,,,,,2.0,1.0,,,,,,,,,,
Padraig Harrington,,,,,,1.0,1.0,,,,,,,,,,
Morgan Hoffmann,,,,,,4.0,1.0,4.0,0.26,"$13,206","$5,112,000",,,,,,
Viktor Hovland,,,,,,3.0,1.0,,,,,,,,,,
Alex Kang,,,,,,2.0,1.0,2.0,0.84,"$14,164","$1,692,000",,,,,,
Jerry Kelly,,,,,,2.0,1.0,,,,,,,,,,
Sihwan Kim,,,,,,2.0,1.0,2.0,2.48,"$73,280","$2,960,000",,,,,,
Tae Hee Lee,,,,,,2.0,1.0,2.0,1.11,"$33,747","$3,042,000",,,,,,
Ben Leong,,,,,,1.0,1.0,1.0,1.13,"$14,280","$1,260,000",,,,,,
Dru Love,,,,,,2.0,1.0,2.0,0.58,"$14,592","$2,520,000",,,,,,
Shane Lowry,,,,,,3.0,1.0,3.0,1.06,"$50,500","$4,751,000",,,,,,
Ben Martin,,,,,,1.0,1.0,,,,,,,,,,
Tyler McCumber,,,,,,1.0,1.0,1.0,4.06,"$46,800","$1,152,000",,,,,,
Jake McLeod,,,,,,1.0,1.0,1.0,3.72,"$65,000","$1,745,000",,,,,,
Jay McLuen,,,,,,1.0,1.0,,,,,,,,,,
John Merrick,,,,,,2.0,1.0,,,,,,,,,,
Blake Morris,,,,,,1.0,1.0,,,,,,,,,,
Cole Nygren,,,,,,1.0,1.0,,,,,,,,,,
David Pastore,,,,,,2.0,1.0,,,,,,,,,,
Andrea Pavan,,,,,,1.0,1.0,1.0,5.09,"$86,500","$1,700,000",,,,,,
Eddie Pepperell,,,,,,2.0,1.0,2.0,2.07,"$69,873","$3,383,000",,,,,,
Kenny Perry,,,,,,4.0,1.0,,,,,,,,,,
Chad Ramey,,,,,,1.0,1.0,1.0,3.78,"$29,944","$792,000",,,,,,
Charles Reiter,,,,,,1.0,1.0,,,,,,,,,,
John Rollins,,,,,,2.0,1.0,2.0,0.89,"$17,024","$1,908,000",,,,,,
Scottie Scheffler,,,,,,1.0,1.0,1.0,1.63,"$12,883","$792,000",,,,,,
Braden Thornberry,,,,,,2.0,1.0,2.0,0.57,"$16,557","$2,916,000",,,,,,
Austen Truslow,,,,,,2.0,1.0,2.0,3.77,"$66,500","$1,764,000",,,,,,
Kristoffer Ventura,,,,,,2.0,1.0,,,,,,,,,,
Scott Vincent,,,,,,2.0,1.0,2.0,2.73,"$80,740","$2,960,000",,,,,,
Boo Weekley,,,,,,1.0,1.0,1.0,2.62,"$14,164","$540,000",,,,,,
Lee Westwood,,,,,,1.0,1.0,1.0,4.47,"$78,000","$1,745,000",,,,,,
Mark Wilson,,,,,,1.0,1.0,,,,,,,,,,
Matthew Wolff,,,,,,1.0,1.0,,,,,,,,,,
Alexander Levy,,,,,,,,1.0,4.62,"$78,500","$1,700,000",,,,,,
Carl Yuan,,,,,,,,1.0,4.18,"$71,000","$1,700,000",,,,,,
WC Liang,,,,,,,,1.0,3.68,"$62,500","$1,700,000",,,,,,
Ryan Fox,,,,,,,,2.0,3.59,"$123,625","$3,445,000",,,,,,
Brandon Stone,,,,,,,,1.0,3.47,"$59,000","$1,700,000",,,,,,
Aaron Rai,,,,,,,,1.0,3.44,"$60,000","$1,745,000",,,,,,
Jason Norris,,,,,,,,1.0,3.24,"$55,000","$1,700,000",,,,,,
Xinjun Zhang,,,,,,,,1.0,3.24,"$55,000","$1,700,000",,,,,,
Adam Bland,,,,,,,,1.0,2.96,"$50,312","$1,700,000",,,,,,
Jorge Campillo,,,,,,,,1.0,2.96,"$50,312","$1,700,000",,,,,,
Jason Scrivener,,,,,,,,1.0,2.96,"$50,312","$1,700,000",,,,,,
Adrian Otaegui,,,,,,,,2.0,2.89,"$99,500","$3,445,000",,,,,,
Tom Lewis,,,,,,,,1.0,2.84,"$49,625","$1,745,000",,,,,,
Andy Sullivan,,,,,,,,1.0,2.81,"$47,750","$1,700,000",,,,,,
Matthew Millar,,,,,,,,1.0,2.78,"$48,500","$1,745,000",,,,,,
Shaun Norris,,,,,,,,1.0,2.77,"$48,250","$1,745,000",,,,,,
Ashun Wu,,,,,,,,1.0,2.76,"$47,000","$1,700,000",,,,,,
Julian Suri,,,,,,,,1.0,2.76,"$47,000","$1,700,000",,,,,,
Oliver Bekker,,,,,,,,1.0,2.69,"$45,750","$1,700,000",,,,,,
Yanwei Liu,,,,,,,,1.0,2.64,"$44,875","$1,700,000",,,,,,
Brett Rumford,,,,,,,,1.0,2.62,"$44,500","$1,700,000",,,,,,
JC Ritchie,,,,,,,,1.0,2.6,"$44,250","$1,700,000",,,,,,
Bowen Xiao,,,,,,,,1.0,2.59,"$44,000","$1,700,000",,,,,,
Dong Seop Maeng,,,,,,,,1.0,1.81,"$30,970","$1,710,000",,,,,,
Yuta Ikeda,,,,,,,,2.0,1.65,"$47,000","$2,852,000",,,,,,
Zac Blair,,,,,,,,1.0,1.23,"$6,660","$540,000",,,,,,
Trevor Immelman,,,,,,,,1.0,1.23,"$6,660","$540,000",,,,,,
Ken Duke,,,,,,,,1.0,1.19,"$6,450","$540,000",,,,,,
Chris Couch,,,,,,,,1.0,1.16,"$6,240","$540,000",,,,,,
Derek Ernst,,,,,,,,2.0,1.14,"$15,172","$1,332,000",,,,,,
Arjun Atwal,,,,,,,,1.0,1.12,"$6,060","$540,000",,,,,,
Jonathan Kaye,,,,,,,,1.0,1.09,"$5,910","$540,000",,,,,,
Charlie Wi,,,,,,,,1.0,1.09,"$5,910","$540,000",,,,,,
Tim Wilkinson,,,,,,,,1.0,1.09,"$8,624","$792,000",,,,,,
Richard Lee,,,,,,,,1.0,1.08,"$14,356","$1,332,000",,,,,,
Drew Nesbitt,,,,,,,,1.0,0.97,"$11,832","$1,224,000",,,,,,
Berry Henson,,,,,,,,1.0,0.95,"$11,970","$1,260,000",,,,,,
Hyungjoon Lee,,,,,,,,1.0,0.93,"$15,960","$1,710,000",,,,,,
Rahil Gangjee,,,,,,,,1.0,0.91,"$11,480","$1,260,000",,,,,,
Kim Leun-Kwang,,,,,,,,1.0,0.89,"$11,200","$1,260,000",,,,,,
Hyun-woo Ryu,,,,,,,,1.0,0.89,"$15,295","$1,710,000",,,,,,
Tim Herron,,,,,,,,4.0,0.7,"$28,973","$4,122,000",,,,,,
