,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENTS,TOTAL RNDS,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Ian Poulter,24.0,70.447,1679.0,11.720,24.0,6.0,13.0,6.0,10.87,"$1,005,255","$9,245,000",24.0,1.1540000000000001,18.465999999999998,18.095,0.371,16.0
D.J. Trahan,19.0,70.513,1318.0,21.755,19.0,5.0,10.0,5.0,5.64,"$283,409","$5,022,000",19.0,1.2109999999999999,13.323,14.232000000000001,-0.909,11.0
Kevin Kisner,30.0,70.521,2087.0,28.629,30.0,8.0,14.0,8.0,4.48,"$479,070","$10,691,000",30.0,0.7190000000000001,16.532,5.771,10.76,23.0
Bud Cauley,33.0,70.54,2302.0,25.807,33.0,10.0,16.0,10.0,4.19,"$530,819","$12,672,000",33.0,0.7,17.508,12.722999999999999,4.784,25.0
Tyrrell Hatton,22.0,70.561,1552.0,.346,22.0,6.0,6.0,6.0,5.63,"$529,095","$9,403,000",22.0,0.917,12.838,10.687999999999999,2.149,14.0
Patrick Reed,28.0,70.568,1963.0,12.901,28.0,7.0,12.0,7.0,7.38,"$751,267","$10,181,000",28.0,0.861,18.077,1.8459999999999999,16.23,21.0
J.T. Poston,44.0,70.577,3075.0,30.391,44.0,12.0,23.0,12.0,3.74,"$546,419","$14,616,000",44.0,0.442,15.911,5.952999999999999,9.957,36.0
Adam Hadwin,38.0,70.586,2660.0,22.264,38.0,10.0,18.0,10.0,8.67,"$1,186,565","$13,688,000",38.0,0.10800000000000001,2.38,2.458,-0.078,22.0
Cameron Champ,41.0,70.59100000000001,2854.0,40.248,41.0,12.0,22.0,12.0,10.1,"$1,515,091","$14,998,000",41.0,0.6729999999999999,22.195,4.6819999999999995,17.512,33.0
Aaron Baddeley,31.0,70.593,2171.0,17.372,31.0,9.0,14.0,9.0,6.4,"$659,988","$10,314,000",31.0,0.7090000000000001,15.591,6.64,8.95,22.0
Wyndham Clark,39.0,70.613,2720.0,33.914,39.0,11.0,19.0,11.0,3.85,"$472,198","$12,276,000",39.0,0.365,9.849,-9.671,19.52,27.0
Byeong Hun An,28.0,70.643,1971.0,7.001,28.0,7.0,12.0,7.0,5.64,"$595,172","$10,555,000",28.0,0.9740000000000001,15.577,27.619,-12.042,16.0
Danny Lee,34.0,70.64399999999999,2371.0,30.898,34.0,10.0,18.0,10.0,8.15,"$1,048,638","$12,870,000",34.0,0.11800000000000001,2.957,-0.726,3.6830000000000003,25.0
Jason Kokrak,36.0,70.656,2513.0,30.620,36.0,9.0,18.0,9.0,5.8,"$697,843","$12,042,000",36.0,1.463,36.578,41.007,-4.428999999999999,25.0
Keith Mitchell,37.0,70.66,2587.0,27.419,37.0,11.0,17.0,11.0,12.82,"$1,882,554","$14,688,000",37.0,0.868,18.227999999999998,28.121,-9.892999999999999,21.0
Daniel Berger,18.0,70.684,1263.0,9.314,18.0,6.0,8.0,6.0,4.78,"$335,445","$7,020,000",18.0,-0.235,-2.5869999999999997,-1.725,-0.862,11.0
Nate Lashley,26.0,70.685,1813.0,24.818,26.0,7.0,12.0,7.0,4.77,"$367,323","$7,704,000",26.0,0.894,15.203,6.2,9.002,17.0
Dominic Bozzelli,33.0,70.688,2291.0,41.717,33.0,10.0,16.0,10.0,4.08,"$485,487","$11,898,000",33.0,0.273,5.192,-17.195,22.386,19.0
Scott Piercy,44.0,70.703,3056.0,54.935,44.0,12.0,21.0,12.0,7.78,"$1,222,003","$15,700,000",44.0,0.209,5.848,9.074,-3.225,28.0
Kiradech Aphibarnrat,26.0,70.709,1832.0,6.442,26.0,8.0,10.0,8.0,8.87,"$1,016,530","$11,455,000",26.0,0.56,9.526,-0.41,9.935,17.0
Roberto Castro,34.0,70.714,2373.0,31.263,34.0,9.0,16.0,9.0,3.41,"$335,401","$9,828,000",34.0,0.8109999999999999,19.473,20.084,-0.61,24.0
Emiliano Grillo,38.0,70.745,2661.0,27.322,38.0,10.0,18.0,10.0,7.17,"$989,301","$13,795,000",38.0,-0.114,-2.386,19.968,-22.354,21.0
Matt Every,18.0,70.75,1261.0,12.491,18.0,5.0,9.0,5.0,5.84,"$320,416","$5,490,000",18.0,0.28,3.0780000000000003,0.652,2.425,11.0
Trey Mullinax,34.0,70.762,2375.0,30.922,34.0,10.0,12.0,10.0,2.68,"$313,661","$11,718,000",34.0,0.183,5.125,19.183,-14.057,28.0
Vaughn Taylor,38.0,70.774,2663.0,26.396,38.0,12.0,19.0,12.0,3.36,"$494,659","$14,706,000",38.0,0.39799999999999996,11.542,-6.529,18.072,29.0
Johnson Wagner,33.0,70.795,2314.0,22.249,33.0,9.0,13.0,9.0,3.56,"$358,913","$10,080,000",33.0,-0.043,-1.028,-7.4670000000000005,6.439,24.0
Chez Reavie,42.0,70.797,2935.0,38.466,42.0,11.0,23.0,11.0,7.94,"$1,195,770","$15,055,000",42.0,0.46799999999999997,10.287,13.550999999999998,-3.264,22.0
Sung Kang,41.0,70.801,2880.0,22.828,41.0,12.0,17.0,12.0,5.11,"$809,273","$15,840,000",41.0,0.41700000000000004,12.095,11.034,1.061,29.0
Bubba Watson,22.0,70.812,1548.0,9.864,22.0,6.0,8.0,6.0,7.9,"$667,408","$8,445,000",22.0,0.642,14.129000000000001,23.17,-9.04,22.0
Adam Schenk,50.0,70.818,3504.0,36.902,50.0,14.0,19.0,14.0,3.12,"$515,683","$16,524,000",50.0,0.68,24.464000000000002,12.929,11.534,36.0
Abraham Ancer,38.0,70.821,2646.0,45.191,38.0,11.0,20.0,11.0,5.45,"$818,255","$15,011,000",38.0,0.382,8.794,12.811,-4.0169999999999995,23.0
Russell Knox,34.0,70.821,2391.0,16.911,34.0,9.0,15.0,9.0,4.47,"$534,246","$11,959,000",34.0,0.51,12.739,20.139,-7.4,25.0
Jhonattan Vegas,34.0,70.82300000000001,2382.0,25.990,34.0,10.0,15.0,10.0,3.66,"$450,924","$12,312,000",34.0,0.742,20.03,24.372,-4.342,27.0
Denny McCarthy,31.0,70.859,2160.0,36.644,31.0,10.0,15.0,10.0,2.54,"$300,364","$11,826,000",31.0,0.511,11.751,-2.967,14.718,23.0
Keegan Bradley,36.0,70.863,2529.0,22.052,36.0,9.0,18.0,9.0,5.88,"$745,173","$12,683,000",36.0,0.182,4.915,28.2,-23.285,27.0
Andrew Putnam,32.0,70.869,2235.0,32.820,32.0,9.0,16.0,9.0,11.09,"$1,349,343","$12,162,000",32.0,0.8009999999999999,12.817,-2.725,15.542,16.0
Scott Brown,40.0,70.872,2804.0,30.864,40.0,12.0,16.0,12.0,2.97,"$429,464","$14,454,000",40.0,0.293,7.617999999999999,5.212000000000001,2.405,26.0
Sam Ryder,40.0,70.878,2793.0,42.114,40.0,11.0,20.0,11.0,6.31,"$874,011","$13,860,000",40.0,0.795,22.253,8.538,13.713,28.0
Nick Taylor,38.0,70.888,2664.0,29.762,38.0,11.0,12.0,11.0,1.87,"$246,900","$13,194,000",38.0,0.318,9.86,-3.0239999999999996,12.884,31.0
Jonathan Byrd,23.0,70.893,1604.0,26.540,23.0,6.0,12.0,6.0,3.25,"$196,919","$6,066,000",23.0,0.485,6.795,2.8960000000000004,3.8989999999999996,14.0
J.B. Holmes,31.0,70.903,2171.0,27.001,31.0,9.0,17.0,9.0,14.53,"$1,788,641","$12,312,000",31.0,0.898,14.37,12.047,2.3209999999999997,16.0
Scott Langley,38.0,70.904,2657.0,37.370,38.0,12.0,16.0,12.0,3.68,"$540,541","$14,706,000",38.0,-0.024,-0.679,-26.006,25.328000000000003,28.0
Peter Malnati,31.0,70.93,2179.0,19.822,31.0,10.0,14.0,10.0,2.22,"$261,543","$11,790,000",31.0,0.426,10.231,-2.114,12.345999999999998,24.0
