New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
36,37,2.8646,37,Eddie Pepperell,3,available,T135,12,+8,2,9,76,--,--,--,76
122,123,0.9479,177,Bronson Burgoon,1,available,T48,26,+2,-1,4,73,--,--,--,73
142,143,0,600,Stuart Deane,1,available,154,1,+14,2,3,82,--,--,--,82
37,38,2.8624,38,Tyrrell Hatton,3,available,T35,6,+1,0,1:27 PM,71,--,--,--,71
135,136,0,600,Rich Berberian Jr.,1,available,T124,1,+7,1,10,76,--,--,--,76
30,31,3.1311,31,Rafael Cabrera Bello,3,available,T103,9,+5,0,8,75,--,--,--,75
79,80,1.7214,80,Joel Dahmen,2,available,T48,31,+2,2,9,70,--,--,--,70
65,66,1.9467,66,Tom Lewis,2,available,T117,6,+6,0,3,76,--,--,--,76
68,69,1.9052,69,Lee Westwood,2,available,T103,9,+5,0,1:38 PM,75,--,--,--,75
116,117,1.1016,133,Brian Gay,1,available,-,-,WD,0,WD,81,--,--,--,81
66,67,1.9234,67,Russell Knox,2,available,T48,3,+2,0,1:27 PM,72,--,--,--,72
25,26,3.4872,26,Sergio Garcia,4,available,T83,8,+4,0,1:05 PM,74,--,--,--,74
4,4,8.019,4,Rory McIlroy,7,available,T117,66,+6,4,5,72,--,--,--,72
22,23,3.8953,23,Phil Mickelson,4,available,T17,8,E,1,5,69,--,--,--,69
141,142,0,600,John Daly,1,available,T124,12,+7,2,8,75,--,--,--,75
41,42,2.6414,42,Lucas Bjerregaard,3,available,T35,6,+1,0,1:49 PM,71,--,--,--,71
138,139,0,600,Craig Bowden,1,available,T135,9,+8,0,2:22 PM,78,--,--,--,78
10,11,5.7539,11,Jon Rahm,5,available,T71,54,+3,3,6,70,--,--,--,70
16,17,4.4922,17,Patrick Cantlay,4,available,T4,5,-2,-1,8,69,--,--,--,69
137,138,0,600,Alexander Bjork,1,available,T152,1,+13,3,10,80,--,--,--,80
9,10,5.8147,10,Rickie Fowler,5,available,T9,-,-1,0,1:27 PM,69,--,--,--,69
123,124,0.9229,182,Troy Merritt,1,available,T48,3,+2,0,1:49 PM,72,--,--,--,72
151,152,0,600,Rod Perry,1,available,T152,20,+13,6,10,77,--,--,--,77
108,109,1.2813,112,Beau Hossler,1,available,T48,3,+2,0,12:10 PM,72,--,--,--,72
3,3,8.7032,3,Brooks Koepka,7,available,1,-,-7,0,1:49 PM,63,--,--,--,63
105,106,1.318,108,Sam Burns,1,available,T17,-,E,0,12:21 PM,70,--,--,--,70
58,59,2.1478,59,Jorge Campillo,2,available,T140,8,+9,2,3,77,--,--,--,77
94,95,1.4381,96,Patton Kizzire,1,available,T17,-,E,0,12:21 PM,70,--,--,--,70
8,9,6.2244,9,Xander Schauffele,5,available,T17,-,E,0,1:38 PM,70,--,--,--,70
69,70,1.8699,70,Jazz Janewattananond,2,available,T17,-,E,0,3,70,--,--,--,70
