New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
43,44,2.637,44,Shane Lowry,3,available,T53,+3,+3,12,--,--,--,--,--
99,100,1.3538,101,Kevin Tway,1,available,-,E,0,1:49 PM,--,--,--,--,--
132,133,0,600,Danny Balin,1,available,-,E,0,2:00 PM,--,--,--,--,--
44,45,2.5912,45,Justin Harding,3,available,T69,+5,+5,12,--,--,--,--,--
85,86,1.595,87,Danny Willett,2,available,-,E,0,1:38 PM,--,--,--,--,--
136,137,0,600,Justin Bertsch,1,available,-,E,0,12:10 PM,--,--,--,--,--
62,63,2.0585,63,Chez Reavie,2,available,T1,-3,-3,11,--,--,--,--,--
55,56,2.2641,56,Keith Mitchell,3,available,T42,+2,+2,14,--,--,--,--,--
83,84,1.6353,85,Corey Conners,2,available,-,E,0,2:00 PM,--,--,--,--,--
121,122,0.9777,171,Harold Varner III,1,available,T12,E,0,13,--,--,--,--,--
42,43,2.6408,43,Kiradech Aphibarnrat,3,available,T67,+4,+4,14,--,--,--,--,--
91,92,1.496,93,Pat Perez,1,available,-,E,0,1:27 PM,--,--,--,--,--
50,51,2.3718,51,Jim Furyk,3,available,-,E,0,2:00 PM,--,--,--,--,--
54,55,2.2642,55,C.T. Pan,3,available,-,E,0,1:27 PM,--,--,--,--,--
35,36,2.9566,36,Matt Wallace,3,available,T1,-3,-3,8,--,--,--,--,--
46,47,2.5156,47,Kyle Stanley,3,available,T12,E,0,13,--,--,--,--,--
28,29,3.3185,29,Hideki Matsuyama,4,available,T53,+3,+3,10,--,--,--,--,--
75,76,1.8164,76,Adam Hadwin,2,available,T53,+3,+3,14,--,--,--,--,--
93,94,1.4427,95,Dylan Frittelli,1,available,-,E,0,2:22 PM,--,--,--,--,--
117,118,1.0777,136,Joaquin Niemann,1,available,T29,+1,+1,6,--,--,--,--,--
152,153,0,600,Casey Russell,1,available,T29,+1,+1,7,--,--,--,--,--
109,110,1.2646,114,Ryan Armour,1,available,-,E,0,1:27 PM,--,--,--,--,--
27,28,3.4293,28,Ian Poulter,4,available,-,E,0,12:43 PM,--,--,--,--,--
101,102,1.33,104,Erik van Rooyen,1,available,T29,+1,+1,12,--,--,--,--,--
118,119,1.0647,138,Sung Kang,1,available,-,E,0,1:16 PM,--,--,--,--,--
147,148,0,600,Rob Labritz,1,available,T69,+5,+5,15,--,--,--,--,--
119,120,1.0614,140,J.J. Spaun,1,available,T29,+1,+1,15,--,--,--,--,--
127,128,0.7608,223,Y.E. Yang,1,available,-,E,0,12:54 PM,--,--,--,--,--
84,85,1.6058,86,Scott Piercy,2,available,T12,E,0,15,--,--,--,--,--
38,39,2.8595,39,Jordan Spieth,3,available,-,E,0,1:16 PM,--,--,--,--,--
88,89,1.5148,90,Brian Harman,2,available,-,E,0,1:05 PM,--,--,--,--,--
150,151,0,600,John OLeary,1,available,T75,+6,+6,13,--,--,--,--,--
98,99,1.3656,100,Brendan Jones,1,available,T75,+6,+6,10,--,--,--,--,--
67,68,1.9202,68,Charley Hoffman,2,available,T29,+1,+1,11,--,--,--,--,--
49,50,2.3742,50,Kevin Na,3,available,-,E,0,1:27 PM,--,--,--,--,--
36,37,2.8646,37,Eddie Pepperell,3,available,-,E,0,12:32 PM,--,--,--,--,--
122,123,0.9479,177,Bronson Burgoon,1,available,-,E,0,1:49 PM,--,--,--,--,--
142,143,0,600,Stuart Deane,1,available,-,E,0,2:11 PM,--,--,--,--,--
37,38,2.8624,38,Tyrrell Hatton,3,available,T5,-2,-2,10,--,--,--,--,--
135,136,0,600,Rich Berberian Jr.,1,available,-,E,0,12:21 PM,--,--,--,--,--
30,31,3.1311,31,Rafael Cabrera Bello,3,available,-,E,0,12:54 PM,--,--,--,--,--
79,80,1.7214,80,Joel Dahmen,2,available,-,E,0,12:43 PM,--,--,--,--,--
65,66,1.9467,66,Tom Lewis,2,available,-,E,0,2:00 PM,--,--,--,--,--
68,69,1.9052,69,Lee Westwood,2,available,T53,+3,+3,8,--,--,--,--,--
116,117,1.1016,133,Brian Gay,1,available,T77,+7,+7,15,--,--,--,--,--
66,67,1.9234,67,Russell Knox,2,available,T42,+2,+2,10,--,--,--,--,--
25,26,3.4872,26,Sergio Garcia,4,available,T53,+3,+3,12,--,--,--,--,--
4,4,8.019,4,Rory McIlroy,7,available,-,E,0,1:38 PM,--,--,--,--,--
22,23,3.8953,23,Phil Mickelson,4,available,-,E,0,1:38 PM,--,--,--,--,--
141,142,0,600,John Daly,1,available,-,E,0,12:54 PM,--,--,--,--,--
41,42,2.6414,42,Lucas Bjerregaard,3,available,T12,E,0,9,--,--,--,--,--
138,139,0,600,Craig Bowden,1,available,T69,+5,+5,6,--,--,--,--,--
10,11,5.7539,11,Jon Rahm,5,available,-,E,0,1:16 PM,--,--,--,--,--
16,17,4.4922,17,Patrick Cantlay,4,available,-,E,0,1:05 PM,--,--,--,--,--
