PLAYER,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
Justin Thomas,-,-,CUT,-,CUT,73,73,--,--,146
Brendon Todd,-,-,CUT,-,CUT,72,74,--,--,146
Tony Finau,-,-,CUT,-,CUT,74,72,--,--,146
Branden Grace,-,-,CUT,-,CUT,75,71,--,--,146
Luke List,-,-,CUT,-,CUT,74,72,--,--,146
David Toms,-,-,CUT,-,CUT,72,74,--,--,146
Ian Poulter,-,-,CUT,-,CUT,73,73,--,--,146
Jimmy Walker,-,-,CUT,-,CUT,75,71,--,--,146
Austin Eckroat (a),-,-,CUT,-,CUT,72,75,--,--,147
Chun An Yu (a),-,-,CUT,-,CUT,74,73,--,--,147
Matthieu Pavon,-,-,CUT,-,CUT,73,74,--,--,147
Dean Burmester,-,-,CUT,-,CUT,76,71,--,--,147
Joel Dahmen,-,-,CUT,-,CUT,75,72,--,--,147
Patton Kizzire,-,-,CUT,-,CUT,80,67,--,--,147
Sam Saunders,-,-,CUT,-,CUT,72,75,--,--,147
Ryan Fox,-,-,CUT,-,CUT,74,73,--,--,147
Alexander Noren,-,-,CUT,-,CUT,75,72,--,--,147
Aaron Baddeley,-,-,CUT,-,CUT,72,75,--,--,147
Mikumu Horikawa,-,-,CUT,-,CUT,73,75,--,--,148
Callum Tarren,-,-,CUT,-,CUT,73,75,--,--,148
Cody Gribble,-,-,CUT,-,CUT,74,74,--,--,148
Thorbjorn Olesen,-,-,CUT,-,CUT,71,77,--,--,148
Ernie Els,-,-,CUT,-,CUT,75,73,--,--,148
Mike Weir,-,-,CUT,-,CUT,74,74,--,--,148
Daniel Hillier (a),-,-,CUT,-,CUT,76,73,--,--,149
Luis Gagne,-,-,CUT,-,CUT,71,78,--,--,149
Stewart Hagestad (a),-,-,CUT,-,CUT,74,75,--,--,149
Renato Paratore,-,-,CUT,-,CUT,75,74,--,--,149
Sam Horsfield,-,-,CUT,-,CUT,75,74,--,--,149
Guillermo Pereira,-,-,CUT,-,CUT,77,72,--,--,149
Kiradech Aphibarnrat,-,-,CUT,-,CUT,75,74,--,--,149
Keegan Bradley,-,-,CUT,-,CUT,73,76,--,--,149
Jhonattan Vegas,-,-,CUT,-,CUT,72,77,--,--,149
J.B. Holmes,-,-,CUT,-,CUT,72,77,--,--,149
Kevin Na,-,-,CUT,-,CUT,72,77,--,--,149
Shugo Imahira,-,-,CUT,-,CUT,75,75,--,--,150
Kyoung-Hoon Lee,-,-,CUT,-,CUT,76,74,--,--,150
Si Woo Kim,-,-,CUT,-,CUT,76,74,--,--,150
Connor Arendell,-,-,CUT,-,CUT,77,73,--,--,150
Luke Guthrie,-,-,CUT,-,CUT,75,75,--,--,150
Kevin OConnell (a),-,-,CUT,-,CUT,76,74,--,--,150
Richard H. Lee,-,-,CUT,-,CUT,72,78,--,--,150
Bubba Watson,-,-,CUT,-,CUT,75,75,--,--,150
Cameron Young (a),-,-,CUT,-,CUT,75,76,--,--,151
Matt Parziale (a),-,-,CUT,-,CUT,74,77,--,--,151
Anirban Lahiri,-,-,CUT,-,CUT,74,77,--,--,151
Brian Davis,-,-,CUT,-,CUT,75,76,--,--,151
Thomas Pieters,-,-,CUT,-,CUT,76,76,--,--,152
Ryan Sullivan,-,-,CUT,-,CUT,73,79,--,--,152
Chan Kim,-,-,CUT,-,CUT,77,75,--,--,152
Marcus Fraser,-,-,CUT,-,CUT,73,79,--,--,152
Matt Naumec,-,-,CUT,-,CUT,74,79,--,--,153
Brett Drewitt,-,-,CUT,-,CUT,77,76,--,--,153
C.T. Pan,-,-,CUT,-,CUT,80,73,--,--,153
Kodai Ichihara,-,-,CUT,-,CUT,80,74,--,--,154
Noah Norton (a),-,-,CUT,-,CUT,80,75,--,--,155
Zac Blair,-,-,CUT,-,CUT,83,72,--,--,155
Lucas Bjerregaard,-,-,CUT,-,CUT,80,75,--,--,155
Roberto Castro,-,-,CUT,-,CUT,78,77,--,--,155
Andreas Halvorsen,-,-,CUT,-,CUT,74,82,--,--,156
Eric Dietrich,-,-,CUT,-,CUT,83,75,--,--,158
Merrick Bremner,-,-,CUT,-,CUT,79,79,--,--,158
Devon Bling (a),-,-,CUT,-,CUT,82,80,--,--,162
