PLAYER,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
Jazz Janewattananond,T94,+3,+3,F,74,--,--,--,74
Danny Willett,T94,+3,+3,F,74,--,--,--,74
David Lipsky,T94,+3,+3,F,74,--,--,--,74
Adam Hadwin,T94,+3,+3,F,74,--,--,--,74
Brandt Snedeker,T94,+3,+3,F,74,--,--,--,74
Doyeob Mun,T94,+3,+3,F,74,--,--,--,74
Chan Kim,T113,+4,+4,F,75,--,--,--,75
Padraig Harrington,T113,+4,+4,F,75,--,--,--,75
Sam Locke,T113,+4,+4,F,75,--,--,--,75
Kyle Stanley,T113,+4,+4,F,75,--,--,--,75
Ian Poulter,T113,+4,+4,F,75,--,--,--,75
Austin Connelly,T113,+4,+4,F,75,--,--,--,75
Paul Waring,T113,+4,+4,F,75,--,--,--,75
Nate Lashley,T113,+4,+4,F,75,--,--,--,75
Jack Senior,T113,+4,+4,F,75,--,--,--,75
Adri Arnaus,T113,+4,+4,F,75,--,--,--,75
Keith Mitchell,T113,+4,+4,F,75,--,--,--,75
Paul Lawrie,T113,+4,+4,F,75,--,--,--,75
Tom Lewis,T113,+4,+4,F,75,--,--,--,75
Isidro Benitez,T113,+4,+4,F,75,--,--,--,75
Yoshinori Fujimoto,T113,+4,+4,F,75,--,--,--,75
Andy Sullivan,T128,+5,+5,F,76,--,--,--,76
Matthias Schmid (a),T128,+5,+5,F,76,--,--,--,76
Phil Mickelson,T128,+5,+5,F,76,--,--,--,76
Joaquin Niemann,T128,+5,+5,F,76,--,--,--,76
Jorge Campillo,T128,+5,+5,F,76,--,--,--,76
Joel Dahmen,T128,+5,+5,F,76,--,--,--,76
Jake McLeod,T128,+5,+5,F,76,--,--,--,76
Dong-Kyu Jang,T128,+5,+5,F,76,--,--,--,76
Billy Horschel,T128,+5,+5,F,76,--,--,--,76
Robert Rock,T128,+5,+5,F,76,--,--,--,76
Yuta Ikeda,T128,+5,+5,F,76,--,--,--,76
Andrew Wilson,T128,+5,+5,F,76,--,--,--,76
Mike Lorenzo-Vera,T140,+6,+6,F,77,--,--,--,77
C.T. Pan,T140,+6,+6,F,77,--,--,--,77
Alexander Bjork,T140,+6,+6,F,77,--,--,--,77
Kevin Streelman,T140,+6,+6,F,77,--,--,--,77
Richard Sterne,T144,+7,+7,F,78,--,--,--,78
Adam Scott,T144,+7,+7,F,78,--,--,--,78
Matthew Baldwin,T144,+7,+7,F,78,--,--,--,78
Tom Lehman,T144,+7,+7,F,78,--,--,--,78
Marc Leishman,T144,+7,+7,F,78,--,--,--,78
Tiger Woods,T144,+7,+7,F,78,--,--,--,78
Rory McIlroy,T150,+8,+8,F,79,--,--,--,79
Garrick Porteous,T150,+8,+8,F,79,--,--,--,79
Miguel Angel Jimenez,152,+11,+11,F,82,--,--,--,82
Thomas Thurloway (a),T153,+12,+12,F,83,--,--,--,83
Shugo Imahira,T153,+12,+12,F,83,--,--,--,83
Dimitrios Papadatos,T153,+12,+12,F,83,--,--,--,83
David Duval,156,+20,+20,F,91,--,--,--,91
